FECHA|CASOS|MUERTES|COUNTRY
25/02/2020|1|0|Afghanistan
26/02/2020|0|0|Afghanistan
27/02/2020|0|0|Afghanistan
28/02/2020|0|0|Afghanistan
29/02/2020|0|0|Afghanistan
01/03/2020|0|0|Afghanistan
02/03/2020|0|0|Afghanistan
08/03/2020|3|0|Afghanistan
11/03/2020|3|0|Afghanistan
15/03/2020|3|0|Afghanistan
16/03/2020|6|0|Afghanistan
17/03/2020|5|0|Afghanistan
18/03/2020|1|0|Afghanistan
19/03/2020|0|0|Afghanistan
20/03/2020|0|0|Afghanistan
21/03/2020|2|0|Afghanistan
22/03/2020|0|0|Afghanistan
23/03/2020|10|0|Afghanistan
24/03/2020|6|1|Afghanistan
25/03/2020|2|0|Afghanistan
26/03/2020|33|0|Afghanistan
27/03/2020|0|0|Afghanistan
28/03/2020|16|1|Afghanistan
29/03/2020|15|1|Afghanistan
30/03/2020|8|1|Afghanistan
31/03/2020|27|0|Afghanistan
01/04/2020|25|0|Afghanistan
02/04/2020|26|0|Afghanistan
03/04/2020|43|0|Afghanistan
04/04/2020|0|0|Afghanistan
05/04/2020|35|1|Afghanistan
06/04/2020|29|2|Afghanistan
07/04/2020|38|0|Afghanistan
08/04/2020|30|4|Afghanistan
09/04/2020|56|3|Afghanistan
10/04/2020|61|1|Afghanistan
11/04/2020|37|0|Afghanistan
12/04/2020|34|3|Afghanistan
13/04/2020|52|0|Afghanistan
14/04/2020|58|3|Afghanistan
09/03/2020|2|0|Albania
10/03/2020|4|0|Albania
11/03/2020|4|0|Albania
12/03/2020|1|1|Albania
13/03/2020|12|0|Albania
14/03/2020|10|0|Albania
15/03/2020|5|0|Albania
16/03/2020|4|0|Albania
17/03/2020|9|0|Albania
18/03/2020|4|0|Albania
19/03/2020|4|1|Albania
20/03/2020|11|0|Albania
21/03/2020|0|0|Albania
22/03/2020|6|0|Albania
23/03/2020|13|0|Albania
24/03/2020|11|2|Albania
25/03/2020|23|1|Albania
26/03/2020|23|0|Albania
27/03/2020|28|1|Albania
28/03/2020|12|3|Albania
